title;wikipedia url;human-written synopsis from wikipedia;[story block: character(s)];[story block: setting(s)];[story block: issue(s)];ai-written retelling;
the devil and his grandmother ;https://en.wikipedia.org/wiki/the_devil_and_his_grandmother;three soldiers cannot live on their pay, and so desert by hiding in a cornfield. when the army does not march away, they are soon caught between starving or emerging to face execution. a dragon happens to fly by, however, and offers the three men salvation under the condition that they must serve him for seven years. when they agree, the dragon, named westerlies, carries them off. however, the dragon is in fact the devil. he gives them a whip with which they can make money, but says that at the end of seven years, they are his unless they can guess a riddle, in which case they will be freed and can keep the whip.;;;;;
the devil with the three golden hairs ;https://en.wikipedia.org/wiki/the_devil_with_the_three_golden_hairs;a poor woman gave birth to a son with a caul (where the amniotic sac is still intact at birth), which was interpreted to mean that he would marry the king's daughter at fourteen years of age.  the wicked king, hearing of it, visited the family and persuaded them to allow him to bring the boy back and raise him in the castle. instead, he put the boy in a box and threw the box into the water, so that he would drown and not grow up to marry his daughter. but rather than sink, it drifted down to a mill, where it was found by the miller and his wife. the two decided to raise the boy on their own.;;;;;
doctor know-all ;https://en.wikipedia.org/wiki/doctor_know-all;"a peasant named crabbe saw how well a doctor ate and asked him how to become one. the doctor told him to buy an abc book with a rooster up front, sell his oxen and cart to buy doctor's equipment and clothing, and advertise himself as ""doctor know-all."" crabbe takes this advice serious and soon becomes a doctor under this name.";;;;;
the dog and the sparrow ;https://en.wikipedia.org/wiki/the_dog_and_the_sparrow;a dog owner lets his shepherd dog starve from hunger, causing it to leave home. the dog meets a sparrow and accompanies it to the city. the bird captures meat and bread for the dog as a sign of gratitude. when they leave town, night falls, and they decide to go to sleep. during the night, a man in a horse carriage approaches the dog and sparrow. the sparrow alerts the man that he is going to run over the dog who is in the road, but he ignores the sparrow and runs over the dog nevertheless. the sparrow curses the man, announcing that he will turn into a poor man. it pecks the wine barrels the man was transporting open, so that the precious wine leaks out. the bird also pecks out the horses' eyes. when the man tries to kill the bird with an axe, he accidentally slays his own horses down. as a result, the man is forced to leave his now useless carriage behind and returns home.;;;;;
the donkey  ;https://en.wikipedia.org/wiki/the_donkey_(fairy_tale);a king and queen had everything they wished for but no children. eventually, the queen gave birth, but to a young donkey. they were disappointed but the king decided to raise the donkey as his son and heir. the donkey requested to learn to play the lute and became an accomplished player. seeing the reflection of himself in the mirror one day, he became sad and decided to travel outside of the kingdom.;;;;;
donkey cabbages ;https://en.wikipedia.org/wiki/donkey_cabbages;a huntsman gave an old woman alms. she told him to go to a tree where nine birds fought for a cloak. if he shot among them, one would die and they would drop the cloak that turned out to be a wishing cloak. furthermore, if he swallowed the heart of the dead bird, he would find a gold coin by his pillow every morning.;;;;;
the duration of life  ;https://en.wikipedia.org/wiki/the_duration_of_life_(fairy_tale);god was giving the animals and man their duration of life and offered all thirty years.  he lessened the donkey's years because of his burdens, the dog's because he had to run about, and the monkey's because he always had to amuse people.  man, however, wanted more years, and so god gave him the years from the others.  for this reason, a man is a man only for his first thirty years;;;;;
the ear of corn  ;https://en.wikipedia.org/wiki/the_ear_of_corn_(fairy_tale);corn (wheat) used to produce many more grains, but one day god saw a woman using the grain to clean off her muddy son.  angry, he cursed them to have no more grain, since they were not worthy of it.  bystanders pleaded with him to have mercy, especially because of the children, and he chose to have the current amount of grain.;;;;;
fair katrinelje and pif-paf-poltrie ;https://en.wikipedia.org/wiki/fair_katrinelje_and_pif-paf-poltrie;"pif-paf-poltrie asks fair katrinelje's father for leave to marry her.  he is told he needs that of ""her mother milk-cow, her brother high-pride, her sister cheese-love,"" as well as her own.  going through the list, he obtains it, on the condition of all the others consenting.  fair katrinelje is last";;;;;
ferdinand the faithful and ferdinand the unfaithful ;https://en.wikipedia.org/wiki/ferdinand_the_faithful_and_ferdinand_the_unfaithful;a couple had no children while they were rich, but when they became poor, they had a son, and the father could find no one for a godfather except a beggar.  the beggar named the boy ferdinand the faithful, gave him nothing, and took nothing, but he gave the nurse a key and said that when the boy was fourteen, he should go to a castle on the heath and unlock it.  then all it contained would be his.;;;;;
the fisherman and his wife ;https://en.wikipedia.org/wiki/the_fisherman_and_his_wife;there is a poor fisherman who lives with his wife in a hovel by the sea. one day the fisherman catches a fish who claims to be able to grant wishes and begs to be set free. the fisherman kindly releases it. when his wife hears the story, she says he ought to have had the fish grant him a wish. she insists that he go back and ask the flounder to grant her wish for a nice house.;;;;;
fitcher's bird ;https://en.wikipedia.org/wiki/fitcher%27s_bird;a sorcerer would take the form of a beggar to abduct young women as his would-be brides. after bringing the eldest sister of a family back to his home, he assured her she would be happy with him.  eventually, the sorcerer leaves but not before handing her the keys to all the rooms in the house and an egg to look after that was to be on her person at all times. however, he forbade her to enter one particular room in the house under the penalty of death. ultimately, the sister did investigate the forbidden room out of curiosity and discovered a basin of blood at its center. shocked at the dismembered body parts that existed within it, she dropped the egg.;;;;;
the flail from heaven ;https://en.wikipedia.org/wiki/the_flail_from_heaven;the tale begins with a peasant tilling his fields with a pair of oxen. inexplicably, while in the field, the oxen's horns grew to an extraordinary size;;;;;
foundling-bird ;https://en.wikipedia.org/wiki/foundling-bird;a forester found a baby in a bird's nest and brought him back to be raised with his daughter lenchen. they called the child fundevogel or foundling-bird, and he and lenchen loved each other.;;;;;
the fox and the geese ;https://en.wikipedia.org/wiki/the_fox_and_the_geese;a fox tells some geese it will eat them. they get permission to pray first, and pray on and on, and the story will continue when they stop.;;;;;
frau holle ;https://en.wikipedia.org/wiki/frau_holle;a rich widow lived with her daughter and her stepdaughter. the widow favored her younger biological daughter, allowing her to become spoiled and idle while her older stepdaughter was left to do all the work. every day, the stepdaughter would sit outside the cottage and spin beside the well.;;;;;
frederick and catherine ;https://en.wikipedia.org/wiki/frederick_and_catherine;frederick and catherine are husband and wife.  he leaves to do his work.  she starts to fry a sausage and thinks she can get a beer while it is cooking.  in the cellar, drawing it, she realizes the dog is loose and might eat the sausage, but the dog has already done so. she chases it but cannot catch it.  meanwhile, the keg of beer empties itself into the cellar.  to hide this, she uses flour she bought at a fair to dry it. frederick is furious hearing this.;;;;;
the glass coffin ;https://en.wikipedia.org/wiki/the_glass_coffin;a tailor's apprentice became lost in a forest.  when night came, he saw a light shining and followed it to a hut. an old man lived there and, after the tailor begged, allowed him to stay for the night. in the morning, the tailor awoke to witness a fight between a great stag and a wild boar. after the stag won, it bounded up to him and carried him off in its antlers. it set him down before a wall of stone and pushed him against a door in it, which then opened. inside the door, he was told to stand on a stone, which would bring him good fortune. he did so, and it sank down into a great hall, where the voice directed him to look into a glass chest. the chest contained a beautiful maiden, who asked him to open the chest and free her, and he did so.;;;;;
the glass mountain  ;https://en.wikipedia.org/wiki/the_glass_mountain_(fairy_tale);the polish story begins with: on a glass mountain grew a tree with golden apples.  an apple would let the picker into the golden castle where an enchanted princess lived.  many knights had tried and failed, so that many bodies lay about the mountain.;;;;;
the gnome  ;https://en.wikipedia.org/wiki/the_gnome_(fairy_tale);a king owns a poison tree, and whoever eats a fruit from it will vanish underground.  his three daughters want to see if that really happens. the youngest says that their father loves them too much for that, so they eat the fruit and sink underground.  the king becomes so worried about his daughters vanished underground, that he offers their hand to whoever saves them.;;;;;
the godfather  ;https://en.wikipedia.org/wiki/the_godfather_(fairy_tale);an impoverished man has had so many children that (by the time he has another) he finds that he has already asked everyone in the world to be godparents for his previous children. befuddled as to how he is supposed to find anyone to act as godparent for his newly-born child, he withdraws to his chamber for the night. while fast asleep, he has a dream that tells him to leave his house and ask the first person he encounters to be his child's godparent. as soon as he awakens, he proceeds to do this. the man he meets and makes godparent of his newly-born child hands the impoverished man a small bottle containing water that the man claims the impoverished man can use to heal the sick, so long as the sickness stems from the head and not the feet.;;;;;
godfather death ;https://en.wikipedia.org/wiki/godfather_death;a poor man has twelve children and works hard to feed each of them every day. when his thirteenth and last child is born, the man decides to find a godfather for this child. he runs out into the highway and finds god walking there. god asks to be the godfather, promising the child health and happiness. the man, after finding out that the man is god, declines, saying that god condones poverty. then the man meets the devil on the highway. the devil asks to be the godfather, offering the child gold and the world's joys. the man, after finding out that the man is the devil, declines, saying that the devil deceives mankind.;;;;;
going a traveling ;https://en.wikipedia.org/wiki/going_a_traveling;"a long long time ago there lived a mother and her son. the son told the mother that he wanted to go out a traveling. the mother was very worried about it since they were very poor. the son told her that he would be fine, and he would always say ""not much"".";;;;;
the gold-children ;https://en.wikipedia.org/wiki/the_gold-children;a fisherman caught a golden fish, who gave him and his wife a rich castle on the condition that he will not tell anyone how he had gotten it.  his wife badgered the knowledge from him, but he caught the fish again and regained the castle, and when she badgered the truth out of him again, he caught the fish a third time.  the fish saw it was fated to fall into the fisherman's hand and told him to take it home and cut it into six pieces, giving two to his wife and two to his horse. he had to bury the last two pieces in the ground.  when he did, his wife gave birth to twins of gold, the horse gave birth to two foals of gold, and two golden lilies sprouted from the earth.;;;;;
the golden bird ;https://en.wikipedia.org/wiki/the_golden_bird;every year, a king's apple tree is robbed of one golden apple during the night. he sets his gardener's sons to watch, and though the first two fall asleep, the youngest stays awake and sees that the thief is a golden bird. he tries to shoot it, but only knocks a feather off.;;;;;
the goose girl ;https://en.wikipedia.org/wiki/the_goose_girl;a widowed queen sends her daughter to a faraway land to marry.  accompanying the princess are her magical horse falada, who can speak, and a waiting maid. the queen gives the princess a special charm that will protect her as long as she wears it.;;;;;
the goose-girl at the well ;https://en.wikipedia.org/wiki/the_goose-girl_at_the_well;"an old woman raised geese in the mountains.  one day, speaking of her heavy burden, she persuaded a count to carry it for her up the mountain.  he found it burdensome, but she would not let him even rest.  when they arrived at the hut, there was an ugly girl tending the old woman's geese, but the old woman would not let them stay together, lest ""he may fall in love with her"".  before the old woman sent the count away, she gave him a box cut out of an emerald as thanks for carrying her burden.";;;;;
the griffin  ;https://en.wikipedia.org/wiki/the_griffin_(fairy_tale);"a king's daughter was ill, and it was foretold she would be made well by eating an apple. the king declared that whoever brought the apple to cure her would marry her.  a peasant with three sons sent the oldest, uele, with a basket of apples.  he met a little iron man who asked him what was in the basket and said ""frogs' legs.""  the man said that so it was, and when he reached the king, it did contain frogs' legs.  the king drove him out.  the peasant sent his second son, seame, who answered ""hogs' bristles"", made the same discovery and received the same reception.";;;;;
hans my hedgehog ;https://en.wikipedia.org/wiki/hans_my_hedgehog;"a wealthy but childless farmer wishes he had a child, even a hedgehog. he comes home to find that his wife has given birth to a baby boy that is a hedgehog from the waist up. they then name him ""hans my hedgehog"".";;;;;
the hare and the hedgehog ;https://en.wikipedia.org/wiki/the_hare_and_the_hedgehog;"one fine morning, the hare makes fun of the hedgehog's crooked legs, whereupon the hedgehog challenges him to a race to win a golden ""lujedor"" (louis d'or) and a bottle of brandy.";;;;;
herr korbes ;https://en.wikipedia.org/wiki/herr_korbes;a cock and a hen go to herr korbes's house in a carriage drawn by mice. along the way, they pick up a cat, millstone, an egg, a duck, a pin, and a needle. herr korbes is not at home;;;;;
how some children played at slaughtering ;https://en.wikipedia.org/wiki/how_some_children_played_at_slaughtering;the first recension is copied out of an old book in the berliner abendblättern von kleist (1810. no. 39.). the second is found martin zeilers miscell. nürnberg 1661. p. 388. who took it from j. wolf lectiones memorabiles. laving. 1600. folio.;;;;;
the hurds ;https://en.wikipedia.org/wiki/the_hurds;"a lazy girl tore out handfuls of flax when she found a knot while spinning.  her industrious servant gathered them and made a gown.  the lazy girl was to marry, but when the servant was gaily dancing in her gown at a party on the eve of the wedding, the bride told her bridegroom carelessly about the origin of that gown: it was made of ""hurds"" or ""odds and ends"" she threw away – and the bridegroom married the servant instead.";;;;;
the hut in the forest ;https://en.wikipedia.org/wiki/the_hut_in_the_forest;"a wood-cutter told his wife to have his oldest daughter bring him his dinner in the woods. she lost her way and in the night found a house with a gray-haired man and a hen, a cock, and a brindled cow. she asked for shelter. the man asked the animals, the animals said ""duks"", and the man agreed, and told her to cook dinner. she cooked for him and herself, and asked for a bed.  he directed her to an upper room, where she went to sleep.  the old man followed her and opened a trapdoor that let her down into the cellar as her punishment. the next day, the same thing happened with the second daughter.";;;;;
iron john ;https://en.wikipedia.org/wiki/iron_john;once upon a time, there was a kingdom that was near a great forest that was filled with all types of wild animals. the king sends a huntsman into the forest nearby to hunt a deer and the huntsman never returns. the king sends more men into the forest where they each meet with the same fate. the king sends all his remaining huntsmen out as a group, but again, none return. the king proclaims the woods as dangerous and off-limits to all.;;;;;
the iron stove ;https://en.wikipedia.org/wiki/the_iron_stove;a prince is cursed by a witch and imprisoned in an iron stove in the woods. a lost princess finds the stove and is surprised to find it talking to her, offering to help her find her way back home, provided she return to the woods with a knife to scrape a hole in the stove, thereby freeing the prince, and marry him.;;;;;
the jew among thorns ;https://en.wikipedia.org/wiki/the_jew_among_thorns;after spending a year in the service of a rich employer, an honest, hard-working servant is not paid but his services are retained in the belief he would continue to work without wages. this recurs at the end of the second year. at the close of the third year, when his master is seen searching in his pocket and withdrawing his empty fist, the servant asks his master to pay a just sum so the servant can seek work elsewhere. he is paid 'liberally' with three pfennig;;;;;
jorinde and joringel ;https://en.wikipedia.org/wiki/jorinde_and_joringel;"an evil shape-shifting witch (or ""fairy,"" depending on the translation) lived alone in a dark castle in the woods. she could lure wild animals and birds to her before killing them for food. she froze to stone any man who would dare come near where she stood, and turned innocent maidens into birds and caged them. jorinde and joringel, two lovers engaged to be married, went for a walk in the forest. they came too near to the witch's lair. she turned jorinde into a nightingale and petrified joringel to the ground. once she had carried away the bird, she freed joringel, laughing that he would never see jorinde again.";;;;;
the juniper tree  ;https://en.wikipedia.org/wiki/the_juniper_tree_(fairy_tale);a wealthy and pious couple pray every day for god to grant them a child. one winter, under the juniper tree in the courtyard, the wife peels an apple. she cuts her finger and drops of blood fall onto the snow. this leads her to wish for a child to be as white as snow and as red as blood. six months later, the wife becomes gravely ill from eating juniper berries and asks her husband to bury her beneath the juniper tree if she dies. a month later, she gives birth to a baby boy as white as snow and as red as blood. she dies of happiness. keeping his promise, the husband buries her beneath the juniper tree. he eventually marries again and he and his new wife have a daughter named marlinchen (in some versions marlene, marjory or ann marie).;;;;;
the king of the golden mountain ;https://en.wikipedia.org/wiki/the_king_of_the_golden_mountain;a merchant with a young son and daughter lost everything except a field.  walking in that field, he met a black mannikin (dwarf)[a] who promised to make him rich if, in twelve years, he brought the first thing that rubbed against his leg when he went home.  the merchant agreed.  when he got home, his boy rubbed against his leg.  he went to the attic and found money, but when the twelve years were up, he grew sad.  his son got the story from him and assured him that the black man had no power over him.  the son had himself blessed by the priest and went to argue with the black man.  finally, the mannikin agreed that the boy could be put in a boat and shoved off into the water.;;;;;
king thrushbeard ;https://en.wikipedia.org/wiki/king_thrushbeard;a beautiful, but spoiled and haughty princess rudely criticizes all her suitors. she mocks the last one, a young king with such a pointed chin that to her it looks like a thrush's beak, and she cruelly dubs him king thrushbeard. her father, exasperated and angry at how she has scorned all her suitors, vows that she shall marry the first man who comes to the palace the next day, regardless of whether he is rich or poor.;;;;;
the knapsack, the hat, and the horn ;https://en.wikipedia.org/wiki/the_knapsack,_the_hat,_and_the_horn;three brothers set out to seek their fortunes. the first finds silver, the second finds gold, and the third acquires a variety of magical objects. these objects include a knapsack that summons soldiers, a hat that fires bullets, and a horn that can destroy cities. by the use of these items, he marries a princess and becomes the ruler of a nation.[1];;;;;
the lambkin and the little fish ;https://en.wikipedia.org/wiki/the_lambkin_and_the_little_fish;a brother and sister had a stepmother who hated them.  one day, they were playing a counting-out game in a meadow by a pool, and their stepmother turned the boy into a fish and the girl into a lamb.  then guests came, and the stepmother ordered the cook to serve the lamb.  the lamb and fish lamented their fates to each other, and the cook served another animal and gave the lamb to a good peasant woman, who had been the girl's nurse.  she suspected who the lamb was, and brought her to a wise woman.  this wise woman pronounced a blessing over the lamb and fish, restoring their human forms, and gave them a little hut in the woods, where they lived happily.;;;;;
lazy henry ;https://en.wikipedia.org/wiki/lazy_henry;henry was so lazy he minded his only task, driving a goat to pasture and back.  he married fat trina so she would drive both his and her goats.  trina proposed trading the goats for a hive, which would not need tending.  they gather a pitcher of honey and discuss whether to get a gosling.  trina wants a child to look after it;;;;;
the lazy spinner ;https://en.wikipedia.org/wiki/the_lazy_spinner;a lazy woman did not like to spin and when she did, did not wind onto a reel, but left it on the bobbin.  her husband complained, and she said she needed a reel to do that, but when he went to cut one, she sneaked after and called out that whoever cut a reel would die. this put him off cutting it, but he still complained.  she then made some yarn and said it must be boiled. then she put some tow in the pot instead and set her husband to watch.  after some time, he opened the pot, saw the tow, and thought he had ruined the yarn. from then on, the husband didn't dare complain.;;;;;
the little peasant ;https://en.wikipedia.org/wiki/the_little_peasant;a poor peasant and his wife did not even have a cow.  they had a woodworker make them a calf of wood and brought it to the pasture.  when the cowherd returned without it, they found it had been stolen and took him to court for his carelessness, and the judge made him give them a cow.  they had nothing to feed it and so had to kill it.  the peasant took the hide to town to sell.  he found a raven with broken wings and wrapped it in the hide.  weather grew bad and he took shelter in a mill, where the miller's wife gave him some bread and cheese.  then the parson arrived, and because her husband was away, he and the wife had a feast.  her husband returned, and the wife hid the parson and the food.  the peasant pretended that the hide was a soothsayer and made the raven croak.  he told the miller where the food was hidden, and after they had eaten, that the devil was in the parson's hiding place.  the parson fled, and the miller gave the peasant 300 thalers.;;;;;
looking for a bride ;https://en.wikipedia.org/wiki/looking_for_a_bride;a shepherd could not choose which of three sisters to marry.  his mother told him to give them cheese.  one did not cut off all the rind and so ate some.  the second cut off good cheese with the rind.  the third carefully pared off the rind, and so he married her.;;;;;
the louse and the flea ;https://en.wikipedia.org/wiki/the_louse_and_the_flea;a louse and a flea are married until the louse drowns while brewing.  the flea mourns, inspiring a door to ask why and start creaking, which inspires a broom to ask why and start sweeping—through a sequence of objects until a spring overflows at the news and drowns them all.;;;;;
maid maleen ;https://en.wikipedia.org/wiki/maid_maleen;once there was a princess named maid maleen who fell in love with a prince, but her father refused his suit.  when maid maleen said she would marry no other, the king had her and her maidservant locked up in tower, with food that would be enough to feed them for seven years.;;;;;
the maid of brakel ;https://en.wikipedia.org/wiki/the_maid_of_brakel;a chapel held a statue of saint anne and the virgin mary as a child.  an unmarried woman prayed to saint anne that she might wed a man.  a clerk, who heard her, said she would not have him.  the woman took it to be the child mary and scolded her, because she was talking to her mother.;;;;;
mary's child ;https://en.wikipedia.org/wiki/mary%27s_child;a poor woodcutter and his wife had a three-year-old daughter that they could not feed.  the virgin mary appeared to the woodcutter and promised to take care of the child, so they gave her the child.  she grew up happily in heaven.  one day the virgin had to go on a journey and gave the girl keys, telling her she could open twelve doors but not the thirteenth.  she opened the first twelve and found the apostles behind them.  then she opened the thirteenth door.  behind it was the trinity, and her finger was stained with gold.  she tried to hide it, lying three times, and the virgin mary said she could no longer remain for her disobedience and lying.;;;;;
the mouse, the bird, and the sausage ;https://en.wikipedia.org/wiki/the_mouse,_the_bird,_and_the_sausage;the mouse, the bird, and the sausage live happily together. the bird brings home wood from the forest;;;;;
the nixie of the mill-pond ;https://en.wikipedia.org/wiki/the_nixie_of_the_mill-pond;a poor miller and his wife are at risk of losing their mill which is their livelihood. one day while passing by the mill pond, a beautiful water spirit, known as a nixie, rises from the water and calls out to the miller by name. initially intimidated, the miller eventually confides in the nixie about his financial troubles. the nixie offers him wealth in exchange for what was born in his house that morning. the miller assumes that he was only at risk of losing a pet such as a young puppy or a kitten and therefore agrees to the deal.;;;;;
old hildebrand ;https://en.wikipedia.org/wiki/old_hildebrand;a peasant's wife and the parson fancied each other, so the wife feigned illness, and the parson preached that whoever had an ill family member could go to the cuckoo's mountain in italy, and get laurel leaves that would cure the ill person.  the peasant, hildebrand, left to get them, and the parson came to his house.  but on the way, hildebrand met his cousin, an egg merchant, who alerted him and brought him to the house in his cart. the parson and the wife began to sing, the merchant sang, and hildebrand sang that it was enough.  he jumped from the basket and beat the parson out of the house.;;;;;
the old man and his grandson ;https://en.wikipedia.org/wiki/the_old_man_and_his_grandson;a man whose hands shook with the tremors of old age could not eat neatly and often spilled his soup, so his son and daughter-in-law barred him from their table and made him eat by the stove.;;;;;
old rinkrank ;https://en.wikipedia.org/wiki/old_rinkrank;a king has a glass mountain built, declaring that whoever scales its slope could marry his daughter. the princess decides to aid one of the suitors. as the princess and her suitor climb, she slips;;;;;
old sultan ;https://en.wikipedia.org/wiki/old_sultan;sultan is the faithful dog of a farmer, but has now grown old. one day the farmer tells his wife he will kill sultan because he has lost most of his teeth and seems useless as a guard dog. his wife begs him to reconsider, telling him how loyal sultan has been to them for many years, but the farmer's mind is made up. sultan hears and is very upset. he goes off to the woods to see his good friend the wolf. the wolf has an idea to save sultan's life and tells him that the farmer and his wife will take their child haying the next day, and the wolf will carry him off. sultan will chase him and free the child. seeing their child safely returned, the farmer and his wife would be grateful and not kill sultan.;;;;;
the old woman in the wood ;https://en.wikipedia.org/wiki/the_old_woman_in_the_wood;a beautiful but poor servant girl was traveling with the family she worked for when robbers attacked them. she hid behind a tree, but no one else survived. she lamented her fate and a dove came to her with a golden key. he told her to unlock a tree and she found food there. in the evening, he brought her to a tree with a bed. she lived like this for many days. when the dove asked her to do something for him, she agreed. he told her to go to a house and go in. an old woman would greet her, but she should not answer. she should open an inner door, which will reveal a room full of splendid rings, but she should take a plain one.;;;;;
one-eye, two-eyes, and three-eyes ;https://en.wikipedia.org/wiki/one-eye,_two-eyes,_and_three-eyes;a woman had three daughters:  the eldest daughter only had single eye in the middle of her forehead, the second daughter was common like ordinary people, the youngest daughter had two eyes on the sides of her head and one eye in the middle of her forehead. her mother and sisters scorned little two eyes because she was like other people. they treated her badly, leaving her only their leftovers to eat.;;;;;
